苹果,苹果,梨,苹果,3
香蕉,香蕉,香蕉,芭蕉,4
哈密瓜,西瓜,西瓜,西瓜,1
葡萄,提子,葡萄,葡萄,2
橘子,橘子,柑橘,橘子,3
桃子,桃子,桃子,杏子,4
蔓越莓,草莓,草莓,草莓,1
菠萝,凤梨,菠萝,菠萝,2
樱桃,樱桃,车厘子,樱桃,3
青柠,青柠,青柠,柠檬,4
龙眼,荔枝,荔枝,荔枝,1
石榴,山楂,石榴,石榴,2
柚子,柚子,文旦,柚子,3
椰子,椰子,椰子,椰青,4
奇异果,猕猴桃,猕猴桃,猕猴桃,1
土豆,马铃薯,土豆,土豆,2
番茄,番茄,西红柿,番茄,3
辣椒,辣椒,辣椒,尖椒,4
青瓜,黄瓜,黄瓜,黄瓜,1
茄子,紫茄,茄子,茄子,2
蘑菇,蘑菇,香菇,蘑菇,3
胡萝卜,胡萝卜,胡萝卜,红萝卜,4
小白菜,油菜,油菜,油菜,1
花椰菜,西兰花,花椰菜,花椰菜,2
卷心菜,卷心菜,圆白菜,卷心菜,3
芹菜,芹菜,芹菜,香芹,4
心里美,白萝卜,白萝卜,白萝卜,1
韭菜,韭黄,韭菜,韭菜,2
蒜,蒜,大蒜,蒜,3
姜,姜,姜,生姜,4
吐司,面包,面包,面包,1
米饭,大米,米饭,米饭,2
面条,面条,拉面,面条,3
水饺,水饺,水饺,馄饨,4
馒头,包子,包子,包子,1
馅饼,月饼,馅饼,馅饼,2
炒饭,炒饭,焖饭,炒饭,3
炸鸡,炸鸡,炸鸡,烤鸡,4
羊排,牛排,牛排,牛排,1
汉堡,三明治,汉堡,汉堡,2
披萨,披萨,薄饼,披萨,3
寿司,寿司,寿司,刺身,4
雪糕,冰淇淋,冰淇淋,冰淇淋,1
蛋挞,布丁,蛋挞,蛋挞,2
锅贴,锅贴,煎饺,锅贴,3
可乐,可乐,可乐,汽水,4
拿铁,咖啡,咖啡,咖啡,1
茶,绿茶,茶,茶,2
牛奶,牛奶,酸奶,牛奶,3
果汁,果汁,果汁,鲜榨汁,4
白酒,红酒,红酒,红酒,1
啤酒,生啤,啤酒,啤酒,2
豆浆,豆浆,豆奶,豆浆,3
奶茶,奶茶,奶茶,珍珠奶茶,4
纯净水,矿泉水,矿泉水,矿泉水,1
苏打水,气泡水,苏打水,苏打水,2
椰汁,椰汁,椰浆,椰汁,3
苹果汁,苹果汁,苹果汁,梨汁,4
蜂蜜水,柠檬水,柠檬水,柠檬水,1
姜茶,姜汤,姜茶,姜茶,2
自行车,自行车,单车,自行车,3
汽车,汽车,汽车,轿车,4
高铁,火车,火车,火车,1
飞机,直升机,飞机,飞机,2
轮船,轮船,游轮,轮船,3
公交车,公交车,公交车,巴士,4
轻轨,地铁,地铁,地铁,1
摩托车,电动车,摩托车,摩托车,2
出租车,出租车,的士,出租车,3
卡车,卡车,卡车,货车,4
耕耘机,拖拉机,拖拉机,拖拉机,1
电梯,升降机,电梯,电梯,2
吊车,吊车,起重机,吊车,3
三轮车,三轮车,三轮车,人力车,4
电滑板,滑板车,滑板车,滑板车,1
猫,狸猫,猫,猫,2
狗,狗,哈士奇,狗,3
狮子,狮子,狮子,老虎,4
猛犸象,大象,大象,大象,1
熊,北极熊,熊,熊,2
猴子,猴子,猩猩,猴子,3
兔子,兔子,兔子,野兔,4
仓鼠,老鼠,老鼠,老鼠,1
蛇,蟒蛇,蛇,蛇,2
青蛙,青蛙,牛蛙,青蛙,3
鱼,鱼,鱼,鲤鱼,4
喜鹊,鸟,鸟,鸟,1
鸡,野鸡,鸡,鸡,2
鸭,鸭,野鸭,鸭,3
鹅,鹅,鹅,天鹅,4
梨,苹果,苹果,苹果,1
香蕉,芭蕉,香蕉,香蕉,2
西瓜,西瓜,哈密瓜,西瓜,3
葡萄,葡萄,葡萄,提子,4
柑橘,橘子,橘子,橘子,1
桃子,杏子,桃子,桃子,2
草莓,草莓,蔓越莓,草莓,3
菠萝,菠萝,菠萝,凤梨,4
车厘子,樱桃,樱桃,樱桃,1
青柠,柠檬,青柠,青柠,2
