苹果,苹果,香蕉,苹果,3,水果
老虎,猴子,老虎,老虎,2,动物
飞机,潜艇,飞机,飞机,2,交通工具
篮球,篮球,篮球,足球,4,体育用品
月亮,月亮,太阳,月亮,3,天文
西瓜,木瓜,西瓜,西瓜,2,水果
葡萄,葡萄,榴莲,葡萄,3,水果
熊,熊,熊,狮子,4,动物
火车,火车,火车,轮船,4,交通工具
排球,篮球,排球,排球,2,体育用品
星星,星星,星星,火星,4,天文
芒果,菠萝,芒果,芒果,3,水果
苹果,橘子,苹果,苹果,2,水果
老虎,老虎,豹子,老虎,3,动物
飞机,飞机,飞机,轮船,4,交通工具
篮球,排球,篮球,篮球,2,体育用品
月亮,地球,月亮,月亮,2,天文
西瓜,西瓜,榴莲,西瓜,3,水果
葡萄,葡萄,木瓜,葡萄,3,水果
熊,猴子,熊,熊,2,动物
火车,火车,汽车,火车,3,交通工具
排球,排球,羽毛球,排球,3,体育用品
星星,太阳,星星,星星,2,天文
芒果,芒果,芒果,榴莲,4,水果
苹果,苹果,苹果,菠萝,4,水果
老虎,老虎,熊,老虎,3,动物
飞机,汽车,飞机,飞机,3,交通工具
篮球,篮球,网球,篮球,3,体育用品
月亮,星星,月亮,月亮,2,天文
西瓜,芒果,西瓜,西瓜,3,水果
葡萄,菠萝,葡萄,葡萄,2,水果
熊,熊,豹子,熊,3,动物
火车,火车,潜艇,火车,3,交通工具
排球,排球,排球,足球,4,体育用品
星星,星星,地球,星星,3,天文
芒果,芒果,芒果,西瓜,4,水果
苹果,苹果,苹果,榴莲,4,水果
老虎,老虎,老虎,狮子,4,动物
飞机,飞机,飞机,汽车,4,交通工具
篮球,排球,篮球,篮球,2,体育用品
月亮,火星,月亮,月亮,2,天文
西瓜,西瓜,菠萝,西瓜,3,水果
葡萄,葡萄,香蕉,葡萄,3,水果
熊,猴子,熊,熊,2,动物
火车,火车,火车,汽车,4,交通工具
排球,排球,排球,篮球,4,体育用品
星星,太阳,星星,星星,2,天文
芒果,菠萝,芒果,芒果,3,水果
苹果,苹果,苹果,橘子,4,水果
老虎,豹子,老虎,老虎,2,动物
飞机,飞机,飞机,轮船,4,交通工具
篮球,篮球,篮球,羽毛球,4,体育用品
月亮,地球,月亮,月亮,2,天文
西瓜,西瓜,榴莲,西瓜,3,水果
葡萄,葡萄,木瓜,葡萄,3,水果
熊,猴子,熊,熊,2,动物
火车,火车,汽车,火车,3,交通工具
排球,排球,羽毛球,排球,3,体育用品
星星,太阳,星星,星星,2,天文
芒果,芒果,芒果,榴莲,4,水果
苹果,苹果,苹果,菠萝,4,水果
老虎,老虎,熊,老虎,3,动物
飞机,汽车,飞机,飞机,3,交通工具
篮球,篮球,网球,篮球,3,体育用品
月亮,星星,月亮,月亮,2,天文
西瓜,芒果,西瓜,西瓜,3,水果
葡萄,菠萝,葡萄,葡萄,2,水果
熊,熊,豹子,熊,3,动物
火车,火车,潜艇,火车,3,交通工具
排球,排球,排球,足球,4,体育用品
星星,星星,地球,星星,3,天文
芒果,芒果,芒果,西瓜,4,水果
